channel,priority
pushilindenis,1.0
alexandr_malkevich,1.0
BorodaV,1.0
nastol,1.0
SolovievLive ,1.0
vorchunmedia,1.0
MayorFSB,1.0
archivarius_dz,1.0
diplomatia,1.0
voenzhur,1.0
milinfolivesvarschiki,1.0
rlz_the_kraken,1.0
oldminerkomi,1.0
nicstavrogin,1.0
Sladkov_plus,2.0
lady_north,2.0
media_soldier ,1.0
NikonovLive,1.0
The_Idiot,1.0
ia_steklomoy,1.0
SuperRu,3.0
RtrDonetsk,3.0
internetsmi,1.0
zola_of_renovation,1.0
huliwar,1.0
spravedlivo,1.0
ne_propaganda,1.0
topgun_spb,1.0
martyoshka,1.0
news_forfree,1.0
bulbe_de_trones,1.0
abunin,1.0
sheptoon,1.0
skabeeva,1.0
KrokooDil,1.0
n0comments,1.0
ukr_leaks,1.0
dvachannel,1.0
yudenich,1.0
boilerroomchannel ,1.0
grey_zone,1.0
MedvedevVesti,1.0
shot_shot,1.0
novorosinform,1.0
milinfolive,1.0
olegtsarov,1.0
skosoi,1.0
chistoprikol,1.0
wingsofwar,1.0
Nevrotique,1.0
nourlnews,1.0
lesyaryabtseva,1.0
margaritasimonyan,1.0
Za_Derjavy,1.0
sueverdem,1.0
Hard_Blog_Line,1.0
new_militarycolumnist,1.0
luganskallnews,1.0
notes_veterans,1.0
kashinguru,1.0
nomenclatura,1.0
oko_ok,1.0
vrogov,1.0
superdolgov,1.0
parbut,1.0
akashevarova,1.0
sovietleningrad,1.0
duma_2021,1.0
legitimniy,1.0
pvsgns,1.0
BeregTime,1.0
boris_rozhin,1.0
tvjihad,1.0
legitimniy_live,1.0
buntariy,1.0
antiskrepa,1.0
nabludatels,1.0
pdmnews,1.0
vprorok,1.0
intuition2036,1.0
JokerDNR,1.0
daviegoblyad,1.0
lesonaval,1.0
ekvinokurova,1.0
big_brother_oren,1.0
egorgalenko,1.0
SwissVatnik,1.0
crimeainform,1.0
polittemnik,1.0
streli_kazbeka,1.0
sashakots ,1.0
fahrenheit1724,1.0
Ze_kartel,1.0
balkanossiper,1.0
russica2 ,1.0
degrag,1.0
mediakinesis,1.0
MariaVladimirovnaZakharova ,1.0
act_next,1.0
ice_inii,1.0
munpes,1.0
MaterikMedia,1.0
Marinaslovo,1.0
zradaperemoga,1.0
sev_polit_takt,1.0
izolentalive,1.0
RegnumMoscow,1.0
chvkmedia,1.0
knightsmove,1.0
Baronova,1.0
polkovnikt,1.0
topspb_tv,1.0
savanichi ,1.0
gogoKremlin,1.0
sinelor,1.0
SergeyKolyasnikov,1.0
volrota,1.0
economika,1.0
tsargradtv,1.0
godeye_ru,1.0
MedvedevVesti ,1.0
nezhurka,1.0
antimaidan,1.0
first_political,1.0
NN_strelka,1.0
ruredmantis,1.0
donbassr,1.0
rt_russian,1.0
MaximYusin,1.0
Ms_krasota,1.0
postposttruth,1.0
minzdravny,1.0
HouseOfCardsRussia,1.0
pridybaylo,1.0
rabotaembrat,1.0
vechernii_m,1.0
delyagin,1.0
videoduma ,1.0
oddr_info,1.0
online47news,1.0
Ugolok_Sitha,1.0
zakuliska,1.0
krasovkin,1.0
RIAKremlinpool,1.0
usaperiodical,1.0
analyst_on_the_couch,1.0
zamesinfo,1.0
chesnokmedia,1.0
zubovskiy4,1.0
NeSocSeti,1.0
vysokygovorit,1.0
adirect,1.0
Ivorytowers,1.0
brussinf,1.0
prosmis,1.0
TJournal,1.0
military_corner,1.0
mardanaka,1.0
stuksnizu,1.0
rezident_ua,1.0
mediatech ,1.0
Federalcity,1.0
